year,metric,value,source,source_url
2016,cpi_energy_index,91.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2017,cpi_energy_index,101.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2018,cpi_energy_index,110.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2019,cpi_energy_index,107.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2020,cpi_energy_index,97.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2021,cpi_energy_index,118.9,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2022,cpi_energy_index,171.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2023,cpi_energy_index,152.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2024,cpi_energy_index,144.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2010,cpi_transport_index,84.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2011,cpi_transport_index,91.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2012,cpi_transport_index,96.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2013,cpi_transport_index,97.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2014,cpi_transport_index,96.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2015,cpi_transport_index,100.0,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2016,cpi_transport_index,97.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2017,cpi_transport_index,101.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2018,cpi_transport_index,106.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2019,cpi_transport_index,108.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2020,cpi_transport_index,102.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2021,cpi_transport_index,112.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2022,cpi_transport_index,129.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2023,cpi_transport_index,128.7,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2024,cpi_transport_index,130.1,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2010,cpi_housing_index,84.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2011,cpi_housing_index,89.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2012,cpi_housing_index,95.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2013,cpi_housing_index,98.1,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2014,cpi_housing_index,98.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2015,cpi_housing_index,100.0,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2016,cpi_housing_index,99.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2017,cpi_housing_index,102.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2018,cpi_housing_index,107.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2019,cpi_housing_index,110.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2020,cpi_housing_index,112.4,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2021,cpi_housing_index,118.6,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2022,cpi_housing_index,134.2,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2023,cpi_housing_index,141.8,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
2024,cpi_housing_index,146.3,Eurostat HICP,https://ec.europa.eu/eurostat/web/hicp/database
